frmName,ctlName,UseTheme,HoverColor,PressedColor,HoverForeColor,PressedForeColor	
navStandardLane,cmdSiteInspectionWorkOrder,True,14282978,16777215,0,16777215	
navStandardLane,Command28,False,16777215,16777215,16777215,16777215	
frmAssignPDC,cmdAssignPdcComplete,True,13431551,15983578,0,0	
frmAssignPDC,cmdCloseForm,True,9917743,15983578,13431551,0	
frmAssignPDC,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmAssignPDC,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmAssignPDC,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmAssignPDC,cmdNext,False,16777215,16777215,16777215,16777215	
frmProjectSiteLink,cmdLinkSites,True,9917743,15983578,13431551,0	
frmProjectSiteLink,cmdRefresh,False,16777215,16777215,16777215,16777215	
frmProjectSiteLink,cmdCloseForm,True,9917743,15983578,13431551,0	
subfrmSiteStInspection,cmdDddComplete,True,15652797,11957550,4210752,4210752	
subfrmSiteStInspection,cmdValidationComplete,True,15652797,11957550,4210752,4210752	
frmExpeditedScopingCosting,cmdAssignDasComplete,False,16777215,16777215,16777215,16777215	
frmExpeditedScopingCosting,cmdEnterCostStart,False,16777215,16777215,16777215,16777215	
frmExpeditedScopingCosting,cmdEnterCostComplete,False,16777215,16777215,16777215,16777215	
frmExpeditedScopingCosting,cmdEmmieSubmittal,False,16777215,16777215,16777215,16777215	
frmExpeditedScopingCosting,Command21,True,15652797,11957550,4210752,4210752	
frmExpeditedScopingCosting,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmExpeditedScopingCosting,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmExpeditedScopingCosting,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmExpeditedScopingCosting,cmdNext,False,16777215,16777215,16777215,16777215	
frmStlaneScopingCosting,cmdSubmitToCFC,True,15652797,11957550,4210752,4210752	
frmStlaneScopingCosting,cmdOpenScopeCost,True,15652797,11957550,4210752,4210752	
frmStlaneScopingCosting,Command21,True,15652797,11957550,4210752,4210752	
frmStlaneScopingCosting,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmStlaneScopingCosting,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmStlaneScopingCosting,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmStlaneScopingCosting,cmdNext,False,16777215,16777215,16777215,16777215	
frmStAssignDvs,cmdAssignDvsComplete,True,9917743,15983578,13431551,0	
frmStAssignDvs,cmdValidationComplete,False,16777215,16777215,16777215,16777215	
frmStAssignDvs,cmdValidationStart,False,16777215,16777215,16777215,16777215	
frmStAssignDvs,Command42,True,9917743,14282978,13431551,0	
frmStAssignDvs,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmStAssignDvs,cmdLastRecord,False,16777215,16777215,16777215,16777215	
